"Date";"Line(QaITCPICYIY)"
"31.05.2001";"2,937"
"30.06.2001";"2,929"
"31.07.2001";"2,926"
"31.08.2001";"2,789"
"30.09.2001";"2,789"
"31.10.2001";"2,513"
"30.11.2001";"2,507"
"31.12.2001";"2,372"
"31.01.2002";"2,228"
"28.02.2002";"2,219"
"31.03.2002";"2,48"
"30.04.2002";"2,341"
"31.05.2002";"2,335"
"30.06.2002";"2,199"
"31.07.2002";"2,326"
"31.08.2002";"2,455"
"30.09.2002";"2,455"
"31.10.2002";"2,71"
"30.11.2002";"2,703"
"31.12.2002";"2,831"
"31.01.2003";"2,949"
"28.02.2003";"2,682"
"31.03.2003";"2,803"
"30.04.2003";"2,668"
"31.05.2003";"2,662"
"30.06.2003";"2,658"
"31.07.2003";"2,525"
"31.08.2003";"2,774"
"30.09.2003";"2,9"
"31.10.2003";"2,638"
"30.11.2003";"2,632"
"31.12.2003";"2,628"
"31.01.2004";"2,117"
"29.02.2004";"2,239"
"31.03.2004";"2,23"
"30.04.2004";"2,351"
"31.05.2004";"2,346"
"30.06.2004";"2,466"
"31.07.2004";"2,34"
"31.08.2004";"2,209"
"30.09.2004";"2,083"
"31.10.2004";"1,958"
"30.11.2004";"1,709"
"31.12.2004";"1,829"
"31.01.2005";"1,829"
"28.02.2005";"1,946"
"31.03.2005";"1,939"
"30.04.2005";"1,935"
"31.05.2005";"1,93"
"30.06.2005";"1,685"
"31.07.2005";"2,046"
"31.08.2005";"1,921"
"30.09.2005";"1,921"
"31.10.2005";"2,281"
"30.11.2005";"2,281"
"31.12.2005";"2,036"
"31.01.2006";"2,275"
"28.02.2006";"2,267"
"31.03.2006";"2,14"
"30.04.2006";"2,135"
"31.05.2006";"2,13"
"30.06.2006";"2,249"
"31.07.2006";"2,241"
"31.08.2006";"2,238"
"30.09.2006";"2,238"
"31.10.2006";"1,761"
"30.11.2006";"1,878"
"31.12.2006";"1,878"
"31.01.2007";"1,756"
"28.02.2007";"1,75"
"31.03.2007";"1,63"
"30.04.2007";"1,51"
"31.05.2007";"1,622"
"30.06.2007";"1,736"
"31.07.2007";"1,615"
"31.08.2007";"1,613"
"30.09.2007";"1,613"
"31.10.2007";"2,076"
"30.11.2007";"2,304"
"31.12.2007";"2,65"
"31.01.2008";"2,992"
"29.02.2008";"2,867"
"31.03.2008";"3,207"
"30.04.2008";"3,318"
"31.05.2008";"3,535"
"30.06.2008";"3,868"
"31.07.2008";"4,086"
"31.08.2008";"4,082"
"30.09.2008";"3,741"
"31.10.2008";"3,39"
"30.11.2008";"2,815"
"31.12.2008";"2,245"
"31.01.2009";"1,676"
"28.02.2009";"1,672"
"31.03.2009";"1,332"
"30.04.2009";"1,218"
"31.05.2009";"0,881"
"30.06.2009";"0,438"
"31.07.2009";"0"
"31.08.2009";"0,218"
"30.09.2009";"0,219"
"31.10.2009";"0,328"
"30.11.2009";"0,548"
"31.12.2009";"0,988"
"31.01.2010";"1,319"
"28.02.2010";"1,096"
"31.03.2010";"1,314"
"30.04.2010";"1,532"
"31.05.2010";"1,419"
"30.06.2010";"1,309"
"31.07.2010";"1,636"
"31.08.2010";"1,522"
"30.09.2010";"1,636"
"31.10.2010";"1,743"
"30.11.2010";"1,743"
"31.12.2010";"1,957"
"31.01.2011";"2,061"
"28.02.2011";"2,386"
"31.03.2011";"2,486"
"30.04.2011";"2,694"
"31.05.2011";"2,583"
"30.06.2011";"2,691"
"31.07.2011";"2,682"
"31.08.2011";"2,784"
"30.09.2011";"3,004"
"31.10.2011";"3,426"
"30.11.2011";"3,319"
"31.12.2011";"3,198"
"31.01.2012";"3,188"
"29.02.2012";"3,284"
"31.03.2012";"3,376"
"30.04.2012";"3,253"
"31.05.2012";"3,253"
"30.06.2012";"3,354"
"31.07.2012";"3,135"
"31.08.2012";"3,229"
"30.09.2012";"3,229"
"31.10.2012";"2,588"
"30.11.2012";"2,487"
"31.12.2012";"2,376"
"31.01.2013";"2,266"
"28.02.2013";"1,846"
"31.03.2013";"1,531"
"30.04.2013";"1,118"
"31.05.2013";"1,118"
"30.06.2013";"1,217"
"31.07.2013";"1,216"
"31.08.2013";"1,211"
"30.09.2013";"0,908"
"31.10.2013";"0,706"
"30.11.2013";"0,607"
"31.12.2013";"0,605"
"31.01.2014";"0,604"
"28.02.2014";"0,504"
"31.03.2014";"0,402"
"30.04.2014";"0,603"
"31.05.2014";"0,503"
"30.06.2014";"0,301"
"31.07.2014";"0,1"
"31.08.2014";"-0,1"
"30.09.2014";"-0,2"
"31.10.2014";"0,1"
"30.11.2014";"0,201"
"31.12.2014";"0"
"31.01.2015";"-0,601"
"28.02.2015";"-0,1"
"31.03.2015";"-0,1"
"30.04.2015";"-0,1"
"31.05.2015";"0,1"
"30.06.2015";"0,2"
"31.07.2015";"0,2"
"31.08.2015";"0,2"
"30.09.2015";"0,2"
"31.10.2015";"0,3"
"30.11.2015";"0,1"
"31.12.2015";"0,1"
"31.01.2016";"0,302"
"29.02.2016";"-0,301"
"31.03.2016";"-0,2"
"30.04.2016";"-0,5"
"31.05.2016";"-0,3"
"30.06.2016";"-0,399"
"31.07.2016";"-0,1"
"31.08.2016";"-0,1"
"30.09.2016";"0,1"
"31.10.2016";"-0,2"
"30.11.2016";"0,1"
"31.12.2016";"0,501"
"31.01.2017";"1,004"
"28.02.2017";"1,61"
"31.03.2017";"1,406"
"30.04.2017";"1,91"
"31.05.2017";"1,403"
"30.06.2017";"1,201"
"31.07.2017";"1,099"
"31.08.2017";"1,196"
"30.09.2017";"1,099"
"31.10.2017";"1"
"30.11.2017";"0,901"
"31.12.2017";"0,897"
"31.01.2018";"0,895"
"28.02.2018";"0,495"
"31.03.2018";"0,792"
"30.04.2018";"0,493"
"31.05.2018";"0,988"
"30.06.2018";"1,286"
"31.07.2018";"1,482"
"31.08.2018";"1,576"
"30.09.2018";"1,383"
"31.10.2018";"1,584"
"30.11.2018";"1,587"
"31.12.2018";"1,087"
"31.01.2019";"0,887"
"28.02.2019";"0,985"
"31.03.2019";"0,982"
"30.04.2019";"1,079"
"31.05.2019";"0,783"
"30.06.2019";"0,684"
"31.07.2019";"0,389"
"31.08.2019";"0,388"
"30.09.2019";"0,292"
"31.10.2019";"0,195"
"30.11.2019";"0,195"
"31.12.2019";"0,489"
"31.01.2020";"0,488"
"29.02.2020";"0,293"
"31.03.2020";"0,097"
"30.04.2020";"0"
"31.05.2020";"-0,194"
"30.06.2020";"-0,194"
"31.07.2020";"-0,388"
"31.08.2020";"-0,483"
"30.09.2020";"-0,583"
"31.10.2020";"-0,292"
"30.11.2020";"-0,195"
"31.12.2020";"-0,195"
"31.01.2021";"0,389"
"28.02.2021";"0,584"
"31.03.2021";"0,777"
"30.04.2021";"1,068"
